ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
New york,lowest,J+0,2026-09-10,lowest-temperature-in-nyc-on-september-10-2026,80-81°F,75646126498332145363518381751494340198003084476794295147382933448571088540967,,,0.001,1486.98,2026-09-10T06:01:06.897392+00:00
New york,lowest,J+0,2026-09-10,lowest-temperature-in-nyc-on-september-10-2026,82-83°F,4186324559769538654571323008986925222321140505218999623653458003358246844238,,,0.001,1524,2026-09-10T06:01:06.897392+00:00
New york,lowest,J+0,2026-09-10,lowest-temperature-in-nyc-on-september-10-2026,84-85°F,36164866110899807681273058882765737702283827557866490785772877927492496431527,,,0.001,1532.95,2026-09-10T06:01:06.897392+00:00
New york,lowest,J+0,2026-09-10,lowest-temperature-in-nyc-on-september-10-2026,86°F or higher,12547383457294730820690744950114799281710465945861367267062862697406847492079,,,0.001,1042.95,2026-09-10T06:01:06.897392+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,61°F or below,65167869519374409320875309229154020292503455560486191475606283061679855206728,0.002,15,0.047,10,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,62-63°F,53146358922992966311933584903150100534490725202558133277113163461906272302448,0.002,61,0.018,20,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,64-65°F,72630034200796293784023319094643026369479379272122264486076682839785200091238,,,0.03,10,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,66-67°F,6590218173069086453442062798587835373110161829653441424608081105166698454531,0.09,41,0.12,51,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,68-69°F,29563449516532535102057224831435657962185894802535885294947224780567296805965,0.3,60.9,0.32,53,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,70-71°F,82616639319268188017543925322871340888190163143596311809178695397429528100449,0.42,20,0.44,45,2026-09-10T06:01:10.033328+00:00
New york,lowest,J+1,2026-09-11,lowest-temperature-in-nyc-on-september-11-2026,72-73°F,97571214436431631304700149857867030921818740886487117021159340184297717601777,0.16,58.65,0.17,9,2026-09-10T06:01:10.033328+00:00
